NAMOBJ,jumlah_ws,luas_ws_km2,jumlah_das,luas_das_km2
Kepulauan Aru,1,8095.63,1651,8095.63
Kepulauan Mentawai,1,5983.22,848,5983.22
Kepulauan Meranti,1,3623.56,63,3623.56
Kepulauan Riau,1,0.04,3,0.04
Kepulauan Sangihe,1,595.63,184,595.63
Kepulauan Selayar,1,1159.92,291,1159.92
Kepulauan Sula,1,1778.52,222,1778.52
Kepulauan Talaud,1,1011.64,88,1011.64
Kepulauan Tanimbar,1,4431.08,731,4431.08
Kepulauan Yapen,1,2429.03,384,2429.03
Kerinci,3,3445.2,6,3445.2
Ketapang,3,30018.16,104,30018.16
Klaten,2,701.51,3,701.51
Klungkung,1,313.96,78,313.96
Kolaka,3,2958.92,149,2958.92
Kolaka Timur,4,3992.53,17,3992.53
Kolaka Utara,3,2932.25,169,2932.25
Konawe,3,5351.81,49,5351.81
Konawe Kepulauan,1,705.71,50,705.71
Konawe Selatan,2,4237.74,260,4237.74
Konawe Utara,3,4215.53,194,4215.53
Kota Adm. Jakarta Barat,1,125.0,4,125.0
Kota Adm. Jakarta Pusat,1,47.56,3,47.56
Kota Adm. Jakarta Selatan,1,144.94,3,144.94
Kota Adm. Jakarta Timur,1,185.54,4,185.54
Kota Adm. Jakarta Utara,2,147.0,11,147.0
Kota Ambon,1,236.66,93,236.66
Kota Balikpapan,1,509.26,35,509.26
Kota Banda Aceh,1,56.72,3,56.72
Kota Bandar Lampung,1,183.75,17,183.75
