nama_das,nama_ws_induk,luas_das_km2
KRUENG CEUNONOT 5,WS ACEH-MEUREUDU,0.18
IBOIH 5,WS ACEH-MEUREUDU,0.16
IBOIH 10,WS ACEH-MEUREUDU,0.14
COT BAK KRUT 3,WS ACEH-MEUREUDU,0.12
COT BAK KRUT 5,WS ACEH-MEUREUDU,0.06
COT BAK KRUT 4,WS ACEH-MEUREUDU,0.05
MELINGGE 9,WS ACEH-MEUREUDU,0.02
PULAU GEUPON 1,WS ACEH-MEUREUDU,0.02
ULEE LHEUE 2,WS ACEH-MEUREUDU,0.03
PAROY 1,WS ACEH-MEUREUDU,0.01
MELINGGE 8,WS ACEH-MEUREUDU,0.01
PULAU GEUPON 2,WS ACEH-MEUREUDU,0.01
PAROY 3,WS ACEH-MEUREUDU,0.0
PAROY 4,WS ACEH-MEUREUDU,0.0
PAROY 7,WS ACEH-MEUREUDU,0.01
PULAU PALOH,WS ACEH-MEUREUDU,0.0
PULAU BUROK,WS ACEH-MEUREUDU,0.0
PULAU TENGKORAK,WS ACEH-MEUREUDU,0.0
PULAU GEUPON 3,WS ACEH-MEUREUDU,0.0
PULAU GUASARANG,WS ACEH-MEUREUDU,0.01
PULAU GEUPON 4,WS ACEH-MEUREUDU,0.0
PULAU GUASARANG 2,WS ACEH-MEUREUDU,0.0
PAROY 8,WS ACEH-MEUREUDU,0.01
PULAU BUNTA 5,WS ACEH-MEUREUDU,0.0
PULAU TEUNOM 8,WS ACEH-MEUREUDU,0.0
PULAU GEUPON 5,WS ACEH-MEUREUDU,0.0
PULAU LUMPAT,WS ACEH-MEUREUDU,0.0
PULAU BURO,WS ACEH-MEUREUDU,0.0
UJUNG DEMIET 3,WS ACEH-MEUREUDU,0.0
PULAU BRUK,WS ACEH-MEUREUDU,0.0
PULAU GUASARANG 1,WS ACEH-MEUREUDU,0.0
PULAU LHEEBLAH,WS ACEH-MEUREUDU,0.0
PULAU TEUNOM 9,WS ACEH-MEUREUDU,0.0
PULAU KELAPA 2,WS ACEH-MEUREUDU,0.0
KRUENG KARE,WS ACEH-MEUREUDU,53.06
WAE MASIWANG,WS AMBON-SERAM,1181.5
WAE BOBOT,WS AMBON-SERAM,939.39
WAE RUATAN,WS AMBON-SERAM,904.88
WAE TALA,WS AMBON-SERAM,677.8
WAE PUNARAJA,WS AMBON-SERAM,344.05
WAE ULUPA,WS AMBON-SERAM,549.31
WAE BARUNO,WS AMBON-SERAM,469.26
WAE TALAHERETA,WS AMBON-SERAM,466.81
WAE NAKUPIA NARI,WS AMBON-SERAM,401.53
